Date;spy us equity;;iev us equity;;EWJ us equity;;EPP us equity;;EEMA us equity;;ILF us equity;;RSX us equity;;SHY us equity;;IEF us equity;;TLT us equity;;JNK us equity;;AGG us equity;;EMB us equity
#¿NOMBRE?;-0,738;#¿NOMBRE?;-1,9287;#¿NOMBRE?;-1,2308;#¿NOMBRE?;-2,2505;#¿NOMBRE?;-2,2002;#¿NOMBRE?;-2,0483;#¿NOMBRE?;-2,5698;#¿NOMBRE?;0,0237;#¿NOMBRE?;0,5638;#¿NOMBRE?;1,2988;#¿NOMBRE?;-0,5292;#¿NOMBRE?;0,136;#¿NOMBRE?;-0,3054
19/11/2014;-0,1605;19/11/2014;0,0225;19/11/2014;-0,5963;19/11/2014;-1,6538;09/02/2015;-0,4414;19/11/2014;2,0461;19/11/2014;0,1444;19/11/2014;-0,0118;19/11/2014;-0,2664;19/11/2014;-0,6359;19/11/2014;-0,1007;19/11/2014;-0,2367;19/11/2014;0,0619
20/11/2014;0,1754;20/11/2014;-0,4279;20/11/2014;-1,0283;20/11/2014;-0,5109;10/02/2015;0,2263;20/11/2014;0,2542;20/11/2014;1,0572;20/11/2014;0,0236;20/11/2014;0,1813;20/11/2014;0,5221;20/11/2014;-0,0504;20/11/2014;0,1825;20/11/2014;0,3003
21/11/2014;0,5351;21/11/2014;0,8143;21/11/2014;0,7359;21/11/2014;1,3265;11/02/2015;-0,5019;21/11/2014;5,2113;21/11/2014;1,8545;21/11/2014;0,0236;21/11/2014;0,2;21/11/2014;0,6031;21/11/2014;0,5549;21/11/2014;0,1184;21/11/2014;0,4051
24/11/2014;0,2806;24/11/2014;0,8302;24/11/2014;0,2149;24/11/2014;-0,549;12/02/2015;1,3143;24/11/2014;-2,1687;24/11/2014;0,2334;24/11/2014;0,0118;24/11/2014;0,114;24/11/2014;0,0833;24/11/2014;0,0251;24/11/2014;0,0364;24/11/2014;0,0175
25/11/2014;-0,0724;25/11/2014;0,356;25/11/2014;0,2573;25/11/2014;-0,4034;13/02/2015;0,9159;25/11/2014;0,1368;25/11/2014;-2,6083;25/11/2014;0,0118;25/11/2014;0,2468;25/11/2014;0,8319;25/11/2014;0,1505;25/11/2014;0,2183;25/11/2014;0,0263
26/11/2014;0,2559;26/11/2014;0,4213;26/11/2014;-0,2566;26/11/2014;1,0446;17/02/2015;-0,264;26/11/2014;0,5739;26/11/2014;-1,0043;26/11/2014;0,0118;26/11/2014;0,1705;26/11/2014;0,2723;26/11/2014;0,1002;26/11/2014;0,0817;26/11/2014;0,3332
28/11/2014;-0,2119;28/11/2014;-0,6845;28/11/2014;-0,3431;28/11/2014;-1,7932;18/02/2015;0,2316;28/11/2014;-3,1522;28/11/2014;-5,5072;28/11/2014;0,0354;28/11/2014;0,3876;28/11/2014;0,7899;28/11/2014;-1,0005;28/11/2014;0,3083;28/11/2014;-0,5592
01/12/2014;-0,695;01/12/2014;-0,1112;01/12/2014;0,5164;01/12/2014;-1,826;19/02/2015;-0,3136;01/12/2014;-3,2548;01/12/2014;0,3067;01/12/2014;-0,0011;01/12/2014;-0,2449;01/12/2014;-0,5824;01/12/2014;-0,7649;01/12/2014;-0,2242;01/12/2014;-0,6089
02/12/2014;0,644;02/12/2014;0,0223;02/12/2014;0,8134;02/12/2014;0,744;20/02/2015;0,6127;02/12/2014;-1,5371;02/12/2014;-4,1794;02/12/2014;-0,059;02/12/2014;-0,4444;02/12/2014;-0,9712;02/12/2014;0,307;02/12/2014;-0,1999;02/12/2014;-0,0444
03/12/2014;0,3887;03/12/2014;-0,178;03/12/2014;-0,0849;03/12/2014;0,0869;23/02/2015;-0,9447;03/12/2014;1,0015;03/12/2014;1,9681;03/12/2014;-0,0472;03/12/2014;0,038;03/12/2014;0,3906;03/12/2014;0;03/12/2014;-0,091;03/12/2014;0,142
