Date;spy us equity;;iev us equity;;EWJ us equity;;EPP us equity;;EEMA us equity;;ILF us equity;;RSX us equity;;SHY us equity;;IEF us equity;;TLT us equity;;JNK us equity;;AGG us equity;;EMB us equity
#¿NOMBRE?;-0,738;#¿NOMBRE?;-1,9287;#¿NOMBRE?;-1,2308;#¿NOMBRE?;-2,2505;#¿NOMBRE?;-2,2002;#¿NOMBRE?;-2,0483;#¿NOMBRE?;-2,5698;#¿NOMBRE?;0,0237;#¿NOMBRE?;0,5638;#¿NOMBRE?;1,2988;#¿NOMBRE?;-0,5292;#¿NOMBRE?;0,136;#¿NOMBRE?;-0,3054
20/01/2016;-1,2815;20/01/2016;-2,0697;20/01/2016;-3,8154;20/01/2016;-1,5533;07/04/2016;-0,8687;20/01/2016;-1,3859;20/01/2016;-2,8685;20/01/2016;0,0708;20/01/2016;0,4914;20/01/2016;1,053;20/01/2016;-0,8597;20/01/2016;0,0827;20/01/2016;-0,6073
21/01/2016;0,5602;21/01/2016;1,0845;21/01/2016;-0,369;21/01/2016;1,1015;08/04/2016;0,1836;21/01/2016;-1,3514;21/01/2016;1,8868;21/01/2016;-0,0118;21/01/2016;-0,2491;21/01/2016;-0,6789;21/01/2016;0,4645;21/01/2016;-0,1377;21/01/2016;0,4558
22/01/2016;2,0515;22/01/2016;2,641;22/01/2016;4,537;22/01/2016;1,7079;11/04/2016;1,3077;22/01/2016;4,1096;22/01/2016;7,8905;22/01/2016;-0,0354;22/01/2016;-0,222;22/01/2016;-0,3815;22/01/2016;1,603;22/01/2016;0,0736;22/01/2016;0,9365
25/01/2016;-1,5117;25/01/2016;-1,3401;25/01/2016;-2,1258;25/01/2016;-1,216;12/04/2016;0,8438;25/01/2016;-2,3684;25/01/2016;-4,1791;25/01/2016;0;25/01/2016;0,3337;25/01/2016;0,5425;25/01/2016;-0,8495;25/01/2016;-0,0551;25/01/2016;-0,4591
26/01/2016;1,3643;26/01/2016;2,1462;26/01/2016;1,3575;26/01/2016;1,6999;13/04/2016;1,9264;26/01/2016;2,3181;26/01/2016;3,3489;26/01/2016;0,0472;26/01/2016;0,0739;26/01/2016;0,0476;26/01/2016;0,8568;26/01/2016;0,1287;26/01/2016;0,3171
27/01/2016;-1,0883;27/01/2016;-0,8511;27/01/2016;0,0893;27/01/2016;-1,2392;14/04/2016;-0,0357;27/01/2016;0,843;27/01/2016;3,0143;27/01/2016;0,0236;27/01/2016;0,0739;27/01/2016;-0,0238;27/01/2016;-0,2427;27/01/2016;0,0184;27/01/2016;0,4789
28/01/2016;0,5209;28/01/2016;0,2146;28/01/2016;0,1784;28/01/2016;1,4006;15/04/2016;-0,4227;28/01/2016;1,6719;28/01/2016;3,8771;28/01/2016;0;28/01/2016;0,1292;28/01/2016;0,1428;28/01/2016;0,4562;28/01/2016;0,0826;28/01/2016;0,5243
29/01/2016;2,4382;29/01/2016;1,606;29/01/2016;2,4043;29/01/2016;1,8129;18/04/2016;0,4219;29/01/2016;5,4471;29/01/2016;1,9014;29/01/2016;0,1179;29/01/2016;0,5344;29/01/2016;0,8477;29/01/2016;0,545;29/01/2016;0,2935;29/01/2016;0,3509
01/02/2016;-0,0366;01/02/2016;-0,1581;01/02/2016;-0,6087;01/02/2016;-0,1979;19/04/2016;1,0313;01/02/2016;0,0975;01/02/2016;-3,5245;01/02/2016;-0,0528;01/02/2016;-0,2299;01/02/2016;-0,3056;01/02/2016;-0,6476;01/02/2016;-0,1207;01/02/2016;-0,4923
02/02/2016;-1,8022;02/02/2016;-2,7441;02/02/2016;-1,0499;02/02/2016;-2,7471;20/04/2016;-0,8129;02/02/2016;-5,0146;02/02/2016;-4,7994;02/02/2016;0,1297;02/02/2016;0,7084;02/02/2016;1,8552;02/02/2016;-0,8227;02/02/2016;0,3028;02/02/2016;-0,2193
03/02/2016;0,5995;03/02/2016;1,5193;03/02/2016;-1,2378;03/02/2016;0,9319;21/04/2016;-0,991;03/02/2016;4,2542;03/02/2016;6,9977;03/02/2016;0,0235;03/02/2016;-0,1096;03/02/2016;-0,8293;03/02/2016;0,3687;03/02/2016;-0,0091;03/02/2016;0,4396
04/02/2016;0,1568;04/02/2016;0,1336;04/02/2016;-0,2686;04/02/2016;1,2118;22/04/2016;-0,0962;04/02/2016;2,5074;04/02/2016;-1,0549;04/02/2016;0,0235;04/02/2016;0,2378;04/02/2016;0,4846;04/02/2016;-0,2449;04/02/2016;0,1006;04/02/2016;0,1237
05/02/2016;-1,905;05/02/2016;-1,5212;05/02/2016;-1,7056;05/02/2016;-1,6249;25/04/2016;-1,0748;05/02/2016;-2,2542;05/02/2016;-1,1372;05/02/2016;-0,0235;05/02/2016;0,1277;05/02/2016;0,1167;05/02/2016;-0,8898;05/02/2016;-0,0914;05/02/2016;-0,1045
08/02/2016;-1,3461;08/02/2016;-2,3577;08/02/2016;-0,1826;08/02/2016;-0,3767;26/04/2016;1,1838;08/02/2016;-2,2571;08/02/2016;-2,8037;08/02/2016;0,1177;08/02/2016;0,7472;08/02/2016;2,152;08/02/2016;-1,2074;08/02/2016;0,3842;08/02/2016;-0,4471
09/02/2016;0,0054;09/02/2016;-0,8881;09/02/2016;-1,9213;09/02/2016;-1,7161;27/04/2016;0,3657;09/02/2016;-1,757;09/02/2016;-3,9201;09/02/2016;-0,0353;09/02/2016;0,0181;09/02/2016;0,1065;09/02/2016;-0,4701;09/02/2016;-0,0091;09/02/2016;-0,3249
10/02/2016;-0,0863;10/02/2016;0,4201;10/02/2016;-1,7724;10/02/2016;0,1776;28/04/2016;-1,3617;10/02/2016;1,2264;10/02/2016;2,0015;10/02/2016;0;10/02/2016;0,2984;10/02/2016;0,8813;10/02/2016;-0,1574;10/02/2016;0,2461;10/02/2016;0,0959
11/02/2016;-1,3008;11/02/2016;-1,4222;11/02/2016;-1,9943;11/02/2016;-0,325;29/04/2016;-0,8944;11/02/2016;-3,0793;11/02/2016;-0,3019;11/02/2016;0,0941;11/02/2016;0,4598;11/02/2016;0,7004;11/02/2016;-0,6938;11/02/2016;0,0636;11/02/2016;-0,1149
12/02/2016;2,0617;12/02/2016;1,9519;12/02/2016;0,8721;12/02/2016;1,4523;02/05/2016;0,1962;12/02/2016;2,8125;12/02/2016;2,4224;12/02/2016;-0,1175;12/02/2016;-0,7628;12/02/2016;-1,6602;12/02/2016;1,6196;12/02/2016;-0,2726;12/02/2016;0,3931
16/02/2016;1,6878;16/02/2016;1,6093;16/02/2016;3,6503;16/02/2016;1,9866;03/05/2016;-2,2322;16/02/2016;0,9625;16/02/2016;1,7738;16/02/2016;-0,0588;16/02/2016;-0,2984;16/02/2016;-1,057;16/02/2016;0,1562;16/02/2016;-0,246;16/02/2016;0,3247
17/02/2016;1,6335;17/02/2016;2,0754;17/02/2016;0,8341;17/02/2016;1,375;04/05/2016;-1,1817;17/02/2016;3,8133;17/02/2016;3,8489;17/02/2016;0,0235;17/02/2016;-0,2449;17/02/2016;-0,6149;17/02/2016;0,7488;17/02/2016;-0,0548;17/02/2016;0,7044
18/02/2016;-0,4096;18/02/2016;-0,5886;18/02/2016;0;18/02/2016;-0,0848;05/05/2016;-0,1621;18/02/2016;-1,5466;18/02/2016;-1,6783;18/02/2016;0,0824;18/02/2016;0,4637;18/02/2016;1,2296;18/02/2016;0,0929;18/02/2016;0,3015;18/02/2016;0,3025
19/02/2016;-0,0469;19/02/2016;-0,1884;19/02/2016;-0,4596;19/02/2016;0,0566;06/05/2016;-0,1624;19/02/2016;0,3927;19/02/2016;0,2134;19/02/2016;-0,0941;19/02/2016;0;19/02/2016;0,0802;19/02/2016;0,1856;19/02/2016;0,0182;19/02/2016;-0,0848
22/02/2016;1,4479;22/02/2016;0,728;22/02/2016;1,662;22/02/2016;2,7134;09/05/2016;-0,5696;22/02/2016;3,9609;22/02/2016;3,1938;22/02/2016;0,0118;22/02/2016;-0,0996;22/02/2016;-0,0496;22/02/2016;0,9883;22/02/2016;0,0273;22/02/2016;0,4905
23/02/2016;-1,263;23/02/2016;-1,7398;23/02/2016;-1,6349;23/02/2016;-1,7887;10/05/2016;1,2477;23/02/2016;-2,4459;23/02/2016;-2,6823;23/02/2016;0,0118;23/02/2016;0,1993;23/02/2016;0,4048;23/02/2016;-0,1223;23/02/2016;0,0182;23/02/2016;-0,0188
24/02/2016;0,4576;24/02/2016;-0,4358;24/02/2016;1,0157;24/02/2016;-0,7005;11/05/2016;-0,5857;24/02/2016;-0,0482;24/02/2016;1,2721;24/02/2016;0,0235;24/02/2016;0;24/02/2016;-0,1978;24/02/2016;0,1531;24/02/2016;0,0364;24/02/2016;0,0188
25/02/2016;1,2112;25/02/2016;1,3953;25/02/2016;1,1883;25/02/2016;0,0847;12/05/2016;-0,0813;25/02/2016;0,2894;25/02/2016;0,7676;25/02/2016;0,0235;25/02/2016;0,2984;25/02/2016;0,3582;25/02/2016;0,4356;25/02/2016;0,2548;25/02/2016;0,3473
26/02/2016;-0,2305;26/02/2016;-0,2968;26/02/2016;-0,0903;26/02/2016;-0,9022;13/05/2016;-1,9113;26/02/2016;-1,3468;26/02/2016;-2,0083;26/02/2016;-0,1294;26/02/2016;-0,4868;26/02/2016;-0,9645;26/02/2016;0,6621;26/02/2016;-0,1816;26/02/2016;0,1684
29/02/2016;-0,7838;29/02/2016;-0,4601;29/02/2016;-1,5371;29/02/2016;0,0284;16/05/2016;1,5962;29/02/2016;1,6577;29/02/2016;2,5442;29/02/2016;0,0589;29/02/2016;0,1631;29/02/2016;0,4371;29/02/2016;1,0886;29/02/2016;0,1182;29/02/2016;0,1494
01/03/2016;2,3507;01/03/2016;2,7461;01/03/2016;2,4793;01/03/2016;2,8157;17/05/2016;-0,3346;01/03/2016;4,2206;01/03/2016;3,9283;01/03/2016;-0,1333;01/03/2016;-0,7802;01/03/2016;-1,7572;01/03/2016;1,823;01/03/2016;-0,2993;01/03/2016;1,1648
02/03/2016;0,4492;02/03/2016;0,2382;02/03/2016;1,4337;02/03/2016;2,3237;18/05/2016;-0,5835;02/03/2016;2,2549;02/03/2016;0,2653;02/03/2016;-0,0118;02/03/2016;-0,1734;02/03/2016;0,4127;02/03/2016;-0,709;02/03/2016;-0,1095;02/03/2016;-0,2406
03/03/2016;0,3894;03/03/2016;0,8448;03/03/2016;0,7067;03/03/2016;1,4328;19/05/2016;-0,7022;03/03/2016;4,2754;03/03/2016;0,9921;03/03/2016;0,0354;03/03/2016;0,1189;03/03/2016;0,3645;03/03/2016;0,2678;03/03/2016;0,1188;03/03/2016;0,1206
04/03/2016;0,3279;04/03/2016;0,5236;04/03/2016;1,0526;04/03/2016;2,1055;20/05/2016;0,8295;04/03/2016;3,6685;04/03/2016;3,5363;04/03/2016;-0,0707;04/03/2016;-0,3379;04/03/2016;-0,6413;04/03/2016;0,3264;04/03/2016;-0,1552;04/03/2016;0,2409
07/03/2016;0,0798;07/03/2016;0;07/03/2016;-1,0417;07/03/2016;0,3393;23/05/2016;0,3085;07/03/2016;-0,0416;07/03/2016;1,265;07/03/2016;-0,0708;07/03/2016;-0,2016;07/03/2016;-0,0311;07/03/2016;0,0887;07/03/2016;-0,0274;07/03/2016;0,1941
08/03/2016;-1,0918;08/03/2016;-1,0677;08/03/2016;-0,9649;08/03/2016;-1,847;24/05/2016;0,7997;08/03/2016;-1,4161;08/03/2016;-3,4978;08/03/2016;0,0708;08/03/2016;0,5785;08/03/2016;1,1045;08/03/2016;-0,6797;08/03/2016;0,2469;08/03/2016;-0,3967
09/03/2016;0,494;09/03/2016;0,5528;09/03/2016;-0,0886;09/03/2016;1,8023;25/05/2016;1,2815;09/03/2016;0,8872;09/03/2016;2,8479;09/03/2016;-0,0354;09/03/2016;-0,3926;09/03/2016;-0,6078;09/03/2016;0,238;09/03/2016;-0,0456;09/03/2016;0,2408
10/03/2016;0,0802;10/03/2016;-0,0524;10/03/2016;-0,4433;10/03/2016;-0,6248;26/05/2016;0,4017;10/03/2016;1,2563;10/03/2016;-1,0699;10/03/2016;-0,0118;10/03/2016;-0,3575;10/03/2016;-0,4102;10/03/2016;0,7124;10/03/2016;0,0456;10/03/2016;-0,0554
11/03/2016;1,6137;11/03/2016;2,6716;11/03/2016;2,6714;11/03/2016;2,5675;27/05/2016;0,3001;11/03/2016;1,5302;11/03/2016;2,3537;11/03/2016;-0,0944;11/03/2016;-0,2852;11/03/2016;-1,0104;11/03/2016;1,1789;11/03/2016;-0,1824;11/03/2016;0,6194
14/03/2016;-0,1282;14/03/2016;-0,2806;14/03/2016;0,4337;14/03/2016;-0,894;31/05/2016;0,9773;14/03/2016;-1,7108;14/03/2016;0,4351;14/03/2016;0;14/03/2016;0,0738;14/03/2016;0,3141;14/03/2016;-0,233;14/03/2016;0,0548;14/03/2016;-0,2205
15/03/2016;-0,163;15/03/2016;-0,9465;15/03/2016;-1,2953;15/03/2016;-1,5206;01/06/2016;-0,2963;15/03/2016;-4,4758;15/03/2016;-3,4653;15/03/2016;0,0354;15/03/2016;-0,0184;15/03/2016;0,0939;15/03/2016;-0,6423;15/03/2016;-0,0913;15/03/2016;-0,5617
16/03/2016;0,5787;16/03/2016;1,0331;16/03/2016;0,175;16/03/2016;2,0152;02/06/2016;0,3764;16/03/2016;2,2993;16/03/2016;3,9744;16/03/2016;0,2008;16/03/2016;0,5255;16/03/2016;0,2972;16/03/2016;0,7053;16/03/2016;0,4297;16/03/2016;0,9908
17/03/2016;0,6344;17/03/2016;0,7413;17/03/2016;0,3493;17/03/2016;1,8471;03/06/2016;1,717;17/03/2016;6,4037;17/03/2016;2,5277;17/03/2016;-0,0118;17/03/2016;0,1101;17/03/2016;0,4132;17/03/2016;0,6711;17/03/2016;0,2094;17/03/2016;0,7794
18/03/2016;0,3908;18/03/2016;-0,0254;18/03/2016;-0,3481;18/03/2016;-0,2015;06/06/2016;0,4657;18/03/2016;0,2391;18/03/2016;-0,9621;18/03/2016;0,0236;18/03/2016;0,1741;18/03/2016;0,2096;18/03/2016;0,1159;18/03/2016;0,0818;18/03/2016;0,0819
21/03/2016;0,1419;21/03/2016;-0,4822;21/03/2016;0,4367;21/03/2016;-0,2019;07/06/2016;0,6952;21/03/2016;0,4374;21/03/2016;1,3965;21/03/2016;-0,0118;21/03/2016;-0,2835;21/03/2016;-0,7671;21/03/2016;-0,029;21/03/2016;-0,2178;21/03/2016;0,3727
22/03/2016;-0,0537;22/03/2016;-0,5356;22/03/2016;0,6087;22/03/2016;-0,1012;08/06/2016;0,5946;22/03/2016;-0,2375;22/03/2016;0,4192;22/03/2016;-0,0589;22/03/2016;-0,211;22/03/2016;-0,0234;22/03/2016;-0,1448;22/03/2016;-0,0637;22/03/2016;-0,1902
23/03/2016;-0,6604;23/03/2016;-0,8205;23/03/2016;-1,2965;23/03/2016;-1,7722;09/06/2016;-0,6101;23/03/2016;-3,254;23/03/2016;-3,3393;23/03/2016;0,059;23/03/2016;0,4596;23/03/2016;1,1325;23/03/2016;-0,522;23/03/2016;0,2185;23/03/2016;-0,6261
24/03/2016;-0,0439;24/03/2016;-0,7239;24/03/2016;-0,613;24/03/2016;-0,2062;10/06/2016;-2,6664;24/03/2016;-0,2461;24/03/2016;0,3701;24/03/2016;-0,0471;24/03/2016;-0,1006;24/03/2016;0,0386;24/03/2016;-0,4373;24/03/2016;0,0091;24/03/2016;-0,2374
28/03/2016;0,0591;28/03/2016;0,4167;28/03/2016;1,4978;28/03/2016;0,1033;13/06/2016;-1,4387;28/03/2016;2,8783;28/03/2016;-1,1678;28/03/2016;0,0236;28/03/2016;0,1465;28/03/2016;0,1312;28/03/2016;-0,4978;28/03/2016;0,0727;28/03/2016;0,1922
29/03/2016;0,9254;29/03/2016;1,2189;29/03/2016;1,0417;29/03/2016;0,3096;14/06/2016;-0,02;29/03/2016;0,9992;29/03/2016;0,7463;29/03/2016;0,1886;29/03/2016;0,6767;29/03/2016;1,0485;29/03/2016;0,2943;29/03/2016;0,2995;29/03/2016;0,5207
30/03/2016;0,4384;30/03/2016;1,0761;30/03/2016;-0,3436;30/03/2016;1,0288;15/06/2016;1,04;30/03/2016;0,7519;30/03/2016;0,4321;30/03/2016;0,0118;30/03/2016;-0,1363;30/03/2016;-1,0529;30/03/2016;0,3521;30/03/2016;-0,0362;30/03/2016;0,1
31/03/2016;-0,2427;31/03/2016;-0,8619;31/03/2016;-1,6379;31/03/2016;-0,1527;16/06/2016;-0,4553;31/03/2016;-1,1783;31/03/2016;0,5532;31/03/2016;0,0471;31/03/2016;0,3638;31/03/2016;0,7094;31/03/2016;0,1462;31/03/2016;0,3123;31/03/2016;0,1907
01/04/2016;0,6812;01/04/2016;-0,8693;01/04/2016;-2,454;01/04/2016;-0,6884;17/06/2016;-0,1193;01/04/2016;1,0334;01/04/2016;-0,3056;01/04/2016;-0,0581;01/04/2016;-0,0287;01/04/2016;0,2606;01/04/2016;0,2161;01/04/2016;-0,0843;01/04/2016;0,2616
04/04/2016;-0,3238;04/04/2016;0,129;04/04/2016;0;04/04/2016;-1,2323;20/06/2016;1,5781;04/04/2016;-3,1865;04/04/2016;-2,2072;04/04/2016;0,0706;04/04/2016;0,118;04/04/2016;0,0612;04/04/2016;-0,3808;04/04/2016;0,0995;04/04/2016;-0,0272
05/04/2016;-0,9992;05/04/2016;-1,9062;05/04/2016;-2,1563;05/04/2016;-2,1575;21/06/2016;0,7121;05/04/2016;-1,4222;05/04/2016;-0,2508;05/04/2016;0,0353;05/04/2016;0,399;05/04/2016;1,0936;05/04/2016;-0,4116;05/04/2016;0,1356;05/04/2016;-0,2632
06/04/2016;1,0925;06/04/2016;1,5231;06/04/2016;1,6529;06/04/2016;1,9129;22/06/2016;0,5948;06/04/2016;-0,5771;06/04/2016;2,577;06/04/2016;-0,0353;06/04/2016;-0,2168;06/04/2016;-0,7262;06/04/2016;0,7381;06/04/2016;-0,0181;06/04/2016;0,2366
07/04/2016;-1,1966;07/04/2016;-1,6813;07/04/2016;-0,542;07/04/2016;-1,9552;23/06/2016;1,0284;07/04/2016;-1,7413;07/04/2016;-1,5319;07/04/2016;0,0588;07/04/2016;0,516;07/04/2016;1,2345;07/04/2016;-0,5862;07/04/2016;0,2167;07/04/2016;-0,4085
08/04/2016;0,2693;08/04/2016;1,7627;08/04/2016;2,9064;08/04/2016;0,9306;24/06/2016;-4,3083;08/04/2016;3,9241;08/04/2016;2,4891;08/04/2016;0;08/04/2016;-0,1531;08/04/2016;-0,6323;08/04/2016;0,6462;08/04/2016;-0,0991;08/04/2016;0,3191
11/04/2016;-0,2343;11/04/2016;0,181;11/04/2016;-0,6178;11/04/2016;0,2371;27/06/2016;-1,4076;11/04/2016;2,1112;11/04/2016;2,1858;11/04/2016;-0,0118;11/04/2016;-0,018;11/04/2016;-0,1288;11/04/2016;0,1781;11/04/2016;0,0722;11/04/2016;0,4453
12/04/2016;0,9312;12/04/2016;1,1355;12/04/2016;2,3091;12/04/2016;2,2602;28/06/2016;4,4055;12/04/2016;3,1412;12/04/2016;2,852;12/04/2016;-0,0235;12/04/2016;-0,3969;12/04/2016;-0,6902;12/04/2016;0,6433;12/04/2016;-0,1622;12/04/2016;0,1357
13/04/2016;1,0105;13/04/2016;1,3779;13/04/2016;2,7778;13/04/2016;1,6448;29/06/2016;0,8517;13/04/2016;2,1588;13/04/2016;-0,5777;13/04/2016;-0,0471;13/04/2016;0,0725;13/04/2016;0,3513;13/04/2016;0,6973;13/04/2016;0,0451;13/04/2016;0,4156
14/04/2016;0,0044;14/04/2016;0,1258;14/04/2016;0,4223;14/04/2016;0,7332;30/06/2016;1,17;14/04/2016;-1,283;14/04/2016;-1,0459;14/04/2016;0;14/04/2016;-0,2353;14/04/2016;-0,4795;14/04/2016;-0,0866;14/04/2016;-0,1714;14/04/2016;0,126
15/04/2016;-0,1106;15/04/2016;-0,176;15/04/2016;-0,9251;15/04/2016;0,3765;01/07/2016;0,4787;15/04/2016;-0,1911;15/04/2016;-1,3506;15/04/2016;0,0706;15/04/2016;0,2994;15/04/2016;0,8565;15/04/2016;-0,2021;15/04/2016;0,2802;15/04/2016;0,0539
18/04/2016;0,7023;18/04/2016;0,9066;18/04/2016;0,764;18/04/2016;1,0253;05/07/2016;-1,6708;18/04/2016;-1,149;18/04/2016;-0,2381;18/04/2016;-0,0118;18/04/2016;-0,0995;18/04/2016;-0,4322;18/04/2016;0,6944;18/04/2016;-0,009;18/04/2016;0,0539
19/04/2016;0,3158;19/04/2016;1,9715;19/04/2016;1,5164;19/04/2016;1,3861;06/07/2016;-0,6263;19/04/2016;3,2933;19/04/2016;2,9833;19/04/2016;-0,0353;19/04/2016;-0,163;19/04/2016;-0,3122;19/04/2016;0,546;19/04/2016;-0,009;19/04/2016;0,386
20/04/2016;0,0953;20/04/2016;-0,2447;20/04/2016;0,5809;20/04/2016;-0,0977;07/07/2016;0,507;20/04/2016;-0,3001;20/04/2016;2,8969;20/04/2016;-0,0706;20/04/2016;-0,5078;20/04/2016;-1,1001;20/04/2016;0,2001;20/04/2016;-0,2434;20/04/2016;0,0805
21/04/2016;-0,5378;21/04/2016;-0,7115;21/04/2016;0;21/04/2016;-0,5865;08/07/2016;1,2524;21/04/2016;-1,4673;21/04/2016;-2,759;21/04/2016;-0,0235;21/04/2016;-0,1641;21/04/2016;-0,5948;21/04/2016;-0,3423;21/04/2016;-0,1356;21/04/2016;-0,3574
22/04/2016;0;22/04/2016;-0,2224;22/04/2016;0,7426;22/04/2016;-0,2458;11/07/2016;1,1392;22/04/2016;-0,3436;22/04/2016;0,9265;22/04/2016;0;22/04/2016;-0,1096;22/04/2016;-0,2564;22/04/2016;0,2862;22/04/2016;0,009;22/04/2016;-0,1524
25/04/2016;-0,1723;25/04/2016;-0,421;25/04/2016;-0,6552;25/04/2016;-0,0739;12/07/2016;1,2128;25/04/2016;-1,3027;25/04/2016;-1,1474;25/04/2016;-0,0236;25/04/2016;-0,1097;25/04/2016;-0,4129;25/04/2016;-0,3425;25/04/2016;-0,1086;25/04/2016;-0,4041
26/04/2016;0,1482;26/04/2016;0,5471;26/04/2016;-0,4122;26/04/2016;0,3699;13/07/2016;-0,3559;26/04/2016;2,3292;26/04/2016;1,451;26/04/2016;-0,0236;26/04/2016;-0,2104;26/04/2016;-0,4537;26/04/2016;0,4009;26/04/2016;-0,0453;26/04/2016;0,0902
27/04/2016;0,2062;27/04/2016;0,4699;27/04/2016;-0,0828;27/04/2016;-1,5725;14/07/2016;1,2399;27/04/2016;2,4279;27/04/2016;0,4005;27/04/2016;0,0707;27/04/2016;0,5502;27/04/2016;0,998;27/04/2016;0,5419;27/04/2016;0,299;27/04/2016;0,4504
28/04/2016;-0,9088;28/04/2016;-0,517;28/04/2016;-4,5568;28/04/2016;0;15/07/2016;-0,1599;28/04/2016;-0,3704;28/04/2016;0,9117;28/04/2016;0,0589;28/04/2016;0,3465;28/04/2016;0,4124;28/04/2016;-0,0284;28/04/2016;0,1988;28/04/2016;0,2063
29/04/2016;-0,5383;29/04/2016;-0,2475;29/04/2016;-0,8681;29/04/2016;-0,2746;18/07/2016;0,5524;29/04/2016;0,855;29/04/2016;0,1694;29/04/2016;0,0353;29/04/2016;-0,0364;29/04/2016;0,2557;29/04/2016;0,1703;29/04/2016;-0,009;29/04/2016;-0,0984
02/05/2016;0,7944;02/05/2016;0,7442;02/05/2016;1,8389;02/05/2016;0,5507;19/07/2016;-0,7434;02/05/2016;-1,6587;02/05/2016;-1,522;02/05/2016;-0,0364;02/05/2016;-0,2898;02/05/2016;-1,0046;02/05/2016;0,0882;02/05/2016;-0,072;02/05/2016;-0,0179
03/05/2016;-0,8707;03/05/2016;-2,0192;03/05/2016;-0,9458;03/05/2016;-1,5683;20/07/2016;0,6354;03/05/2016;-3,6732;03/05/2016;-2,6331;03/05/2016;0,106;03/05/2016;0,5935;03/05/2016;1,2596;03/05/2016;-0,7681;03/05/2016;0,1853;03/05/2016;-0,2248
04/05/2016;-0,5574;04/05/2016;-1,3069;04/05/2016;-0,8681;04/05/2016;-1,4163;21/07/2016;-0,074;04/05/2016;-0,0389;04/05/2016;-2,0576;04/05/2016;-0,0118;04/05/2016;0,1815;04/05/2016;0,5486;04/05/2016;-0,5161;04/05/2016;0,0451;04/05/2016;-0,2343
05/05/2016;-0,0195;05/05/2016;-0,4838;05/05/2016;0,5254;05/05/2016;0,2052;22/07/2016;0,2778;05/05/2016;-1,2456;05/05/2016;1,5006;05/05/2016;0,0353;05/05/2016;0,2718;05/05/2016;0,6685;05/05/2016;0,0288;05/05/2016;0,2526;05/05/2016;0,2304
06/05/2016;0,3659;06/05/2016;0,3071;06/05/2016;0,5226;06/05/2016;-0,3328;25/07/2016;-0,6648;06/05/2016;0,8277;06/05/2016;-0,2365;06/05/2016;-0,0235;06/05/2016;-0,2349;06/05/2016;-0,4274;06/05/2016;-0,0288;06/05/2016;-0,153;06/05/2016;0,1307
09/05/2016;0,0822;09/05/2016;-0,1276;09/05/2016;-0,0867;09/05/2016;-0,4624;26/07/2016;0,6863;09/05/2016;-2,2283;09/05/2016;-2,0154;09/05/2016;0,047;09/05/2016;0,1902;09/05/2016;0,3143;09/05/2016;-0,0576;09/05/2016;0,0631;09/05/2016;-0,252
10/05/2016;1,2438;10/05/2016;1,0217;10/05/2016;2,5152;10/05/2016;1,8065;27/07/2016;0,3523;10/05/2016;4,1583;10/05/2016;2,1174;10/05/2016;0,0235;10/05/2016;-0,0181;10/05/2016;0,0076;10/05/2016;0,7785;10/05/2016;0,045;10/05/2016;0,4422
11/05/2016;-0,9355;11/05/2016;-0,5815;11/05/2016;-1,8613;11/05/2016;-0,8112;28/07/2016;0,3864;11/05/2016;0,0384;11/05/2016;1,8365;11/05/2016;-0,0353;11/05/2016;0,1537;11/05/2016;0,5654;11/05/2016;-0,0286;11/05/2016;0;11/05/2016;0,2336
12/05/2016;0,0291;12/05/2016;-0,2798;12/05/2016;0,7759;12/05/2016;-0,3067;29/07/2016;0,0183;12/05/2016;-0,0767;12/05/2016;0,4654;12/05/2016;-0,0588;12/05/2016;-0,2708;12/05/2016;-0,4559;12/05/2016;0;12/05/2016;-0,09;12/05/2016;0,1972
13/05/2016;-0,8714;13/05/2016;-1,0201;13/05/2016;-1,3687;13/05/2016;-1,3586;01/08/2016;0,4948;13/05/2016;-3,4178;13/05/2016;-1,1581;13/05/2016;0,0118;13/05/2016;0,3802;13/05/2016;0,9694;13/05/2016;-0,4007;13/05/2016;0,1892;13/05/2016;0,0626
16/05/2016;0,9865;16/05/2016;1,2368;16/05/2016;1,3877;16/05/2016;1,4553;02/08/2016;-0,8753;16/05/2016;1,0736;16/05/2016;1,9918;16/05/2016;-0,0471;16/05/2016;-0,3607;16/05/2016;-0,8618;16/05/2016;0,6034;16/05/2016;-0,1709;16/05/2016;0,0536
17/05/2016;-0,933;17/05/2016;-0,8654;17/05/2016;-0,6843;17/05/2016;-0,2049;03/08/2016;0,184;17/05/2016;-1,1408;17/05/2016;-0,0574;17/05/2016;-0,0353;17/05/2016;-0,1358;17/05/2016;0,1678;17/05/2016;-0,0857;17/05/2016;-0,1351;17/05/2016;-0,0715
18/05/2016;0,0289;18/05/2016;0,3338;18/05/2016;0,0861;18/05/2016;-1,001;04/08/2016;0,2754;18/05/2016;-2,507;18/05/2016;-2,4138;18/05/2016;-0,1766;18/05/2016;-0,8066;18/05/2016;-1,4236;18/05/2016;-0,0858;18/05/2016;-0,4149;18/05/2016;-0,9658
19/05/2016;-0,3465;19/05/2016;-0,6141;19/05/2016;-0,6885;19/05/2016;-0,6482;05/08/2016;1,3551;19/05/2016;-1,1837;19/05/2016;-1,3545;19/05/2016;0,0236;19/05/2016;0,1005;19/05/2016;0,4325;19/05/2016;-0,2289;19/05/2016;0,0634;19/05/2016;-0,3431
