"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"31.03.2021","0,1286","0,1286","0,1286","0,1286","0,00%"
"30.03.2021","0,1286","0,1286","0,1287","0,1286","0,00%"
"29.03.2021","0,1286","0,1287","0,1287","0,1286","-0,05%"
"26.03.2021","0,1287","0,1287","0,1287","0,1287","0,00%"
"25.03.2021","0,1287","0,1287","0,1287","0,1287","0,00%"
"24.03.2021","0,1287","0,1287","0,1288","0,1287","0,00%"
"23.03.2021","0,1287","0,1288","0,1288","0,1287","0,00%"
"22.03.2021","0,1288","0,1288","0,1288","0,1287","0,00%"
"19.03.2021","0,1288","0,1288","0,1288","0,1287","0,00%"
"18.03.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"17.03.2021","0,1288","0,1288","0,1288","0,1287","0,00%"
"16.03.2021","0,1288","0,1288","0,1288","0,1287","0,00%"
"15.03.2021","0,1288","0,1288","0,1288","0,1288","0,00%"
"12.03.2021","0,1288","0,1289","0,1289","0,1288","-0,04%"
"11.03.2021","0,1289","0,1288","0,1289","0,1288","0,00%"
"10.03.2021","0,1288","0,1288","0,1289","0,1288","0,00%"
"09.03.2021","0,1288","0,1287","0,1289","0,1287","0,10%"
"08.03.2021","0,1287","0,1288","0,1288","0,1287","-0,07%"
"05.03.2021","0,1288","0,1289","0,1289","0,1288","-0,05%"
"04.03.2021","0,1289","0,1289","0,1289","0,1289","0,00%"
"03.03.2021","0,1289","0,1289","0,1289","0,1289","0,00%"
"02.03.2021","0,1289","0,1289","0,1289","0,1289","0,00%"
"01.03.2021","0,1289","0,1289","0,1289","0,1289","0,00%"
"26.02.2021","0,1289","0,1290","0,1290","0,1289","0,00%"
"25.02.2021","0,1290","0,1290","0,1290","0,1289","0,00%"
"24.02.2021","0,1289","0,1290","0,1290","0,1289","0,00%"
"23.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"22.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"19.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"18.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"17.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"16.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"15.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"12.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"11.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"10.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"09.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"08.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"05.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"04.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"03.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"02.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"01.02.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"29.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"28.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"27.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"26.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"25.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"22.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"21.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"20.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"19.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"18.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"15.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"14.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"13.01.2021","0,1290","0,1289","0,1290","0,1289","0,00%"
"12.01.2021","0,1289","0,1289","0,1290","0,1289","0,00%"
"11.01.2021","0,1289","0,1289","0,1290","0,1289","0,00%"
"08.01.2021","0,1289","0,1290","0,1290","0,1289","0,00%"
"07.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"06.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"05.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"04.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"01.01.2021","0,1290","0,1290","0,1290","0,1290","0,00%"
"31.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"30.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"29.12.2020","0,1290","0,1289","0,1290","0,1289","0,00%"
"28.12.2020","0,1289","0,1290","0,1290","0,1289","0,00%"
"25.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"24.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"23.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"22.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"21.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"18.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"17.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"16.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"15.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"14.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"11.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"10.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"09.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"08.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"07.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"04.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"03.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"02.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"01.12.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"30.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"27.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"26.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"25.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"24.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"23.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"20.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"19.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"18.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"17.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"16.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"13.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"12.11.2020","0,1290","0,1290","0,1290","0,1289","0,00%"
"11.11.2020","0,1290","0,1290","0,1290","0,1289","0,00%"
"10.11.2020","0,1290","0,1290","0,1290","0,1289","0,00%"
"09.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"06.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"05.11.2020","0,1290","0,1289","0,1290","0,1289","0,04%"
"04.11.2020","0,1289","0,1290","0,1290","0,1289","-0,04%"
"03.11.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"02.11.2020","0,1290","0,1290","0,1290","0,1289","0,00%"
"30.10.2020","0,1290","0,1290","0,1290","0,1289","0,00%"
"29.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"28.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"27.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"26.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"23.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"22.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"21.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"20.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"19.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"16.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"15.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"14.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"13.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"12.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"09.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"08.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"07.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"06.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"05.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"02.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"01.10.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"30.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"29.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"28.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"25.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"24.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"23.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"22.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"21.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"18.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"17.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"16.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"15.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"14.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"11.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"10.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"09.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"08.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"07.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"04.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"03.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"02.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"01.09.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"31.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"28.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"27.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"26.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"25.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"24.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"21.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"20.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"19.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"18.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"17.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"14.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"13.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
"12.08.2020","0,1290","0,1290","0,1290","0,1290","0,00%"
